License Number,Facility Name,DBA,Facility Type,Street,City,State,Zip Code,Date Updated,Latitude,Longitude
403-01371,POTCO LLC,PotCo,Medical Marijuana Cultivation,11101 East 51st Avenue,Denver,CO,80239,2024-09-03,39.7906535,-104.8586246
403-01873,POTCO LLC,PotCo,Medical Marijuana Cultivation,1640 Siloam Road,Pueblo,CO,81005,2024-09-03,38.2271193,-104.975368
403-00080,PRVT LBL LLC,Sneudies,Medical Marijuana Cultivation,2490 West 2nd Avenue,Denver,CO,80223,2024-09-03,39.7184728,-105.0174582
403-01838,PURE MEDICAL LLC,Pure,Medical Marijuana Cultivation,440 8th Street,Penrose,CO,81240,2024-09-03,38.4284348,-105.0320201
403-00325,R & B CONSULTING INC,Iion Cannabis,Medical Marijuana Cultivation,"4727 North Broadway, Unit G",Boulder,CO,80304,2024-09-03,40.040917,-105.282079
403-00959,RANGE STREET LLC,Qualis Cultivation,Medical Marijuana Cultivation,"1845 Range Street, Bays B, G-H",Boulder,CO,80301,2024-09-03,40.016947,-105.230002
403-01009,RBF CORP,Single Source Colorado,Medical Marijuana Cultivation,621 South Jason Street,Denver,CO,80223,2024-09-03,39.7054433,-104.9992959
403-01766,RD INDUSTRIES II LLC,House of Dankness,Medical Marijuana Cultivation,10555 East 45th Avenue,Denver,CO,80239,2024-09-03,39.7792721,-104.8645601
403-01801,RJJ HIGHLANDS LLC,Native Roots Highlands,Medical Marijuana Cultivation,4990 North Dahlia Street,Denver,CO,80216,2024-09-03,39.786904,-104.93154
403-00190,ROCKY MOUNTAIN DISTRIBUTORS LLC,,Medical Marijuana Cultivation,1135 South Jason Street,Denver,CO,80223,2024-09-03,39.6960302,-104.9992597
403-01005,ROCKY MOUNTAIN MEDICAL LLC,,Medical Marijuana Cultivation,616 Arrawanna Street,Colorado Springs,CO,80909,2024-09-03,38.8417007,-104.7722421
403-00029,ROTATION LLC,Rotation,Medical Marijuana Cultivation,4015 North Elati Street,Denver,CO,80216,2024-09-03,39.771904,-104.993729
403-01619,RR SERVICES LLC,Bloom County,Medical Marijuana Cultivation,2252 South Kalamath Street,Denver,CO,80223,2024-09-03,39.6757181,-105.0005114
403-01756,RUBII LLC,,Medical Marijuana Cultivation,"6859 North Foothills Highway, Unit C-400",Boulder,CO,80302,2024-09-03,40.0983218,-105.2821961
403-01649,SDJ LLC,WP Nation,Medical Marijuana Cultivation,212 South 21st Street,Colorado Springs,CO,80904,2024-09-03,38.8424491,-104.8579162
403-02010,SHINING MOUNTAIN LLC,,Medical Marijuana Cultivation,5564 County Road 23,Ridgway,CO,81432,2024-09-03,38.134625,-107.75266
403-01687,SL CHEROKEE LLC,Snaxland,Medical Marijuana Cultivation,1155 South Cherokee Street,Denver,CO,80223,2024-09-03,39.6955768,-104.9915764
403-00450,SOHI CANNABIS COMPANY LLC,,Medical Marijuana Cultivation,2744 West 4th Avenue,Denver,CO,80219,2024-09-03,39.7218469,-105.0214326
403-01418,SOLACE MEDS LLC,,Medical Marijuana Cultivation,1736-1740 Willox Court,Fort Collins,CO,80524,2024-09-03,40.6106044,-105.0782308
403-01337,SOLACE MEDS OF WHEAT RIDGE LLC,,Medical Marijuana Cultivation,4845 Van Gordon Street,Wheat Ridge,CO,80033,2024-09-03,39.784624,-105.1356198
