Name,Street,City,State,Zip,Type,Latitude,Longitude
Dabarado,5156 Centennial Blvd,Colorado Springs,CO,80919,Medical,38.905089,-104.8639584
Dabbington,206 Elm Dr Log Lane Village,Log Lane Village,CO,80705,Recreational,40.2696117,-103.8295737
Dalwhinnie Farms,108 S Mill St,Aspen,CO,81611,Medical,39.1905192,-106.8191529
Dank,3835 Elm St,Denver,CO,80207,Undisclosed,39.7698347,-104.9294369
DenRec,2117 Larimer St,Denver,CO,80205,Undisclosed,39.7543709,-104.9911954
Denver Dispensary,4975 Vasquez Blvd,Denver,CO,80216,Undisclosed,39.7912416,-104.9418009
Denver Kush Club,2615 Welton St,Denver,CO,80205,Undisclosed,39.7543271,-104.9790339
Denver Recreational Dispensary,2042 S Bannock St,Denver,CO,80223,Undisclosed,39.6793381,-104.9897442
Denver Recreational Dispensary,2117 Larimer St,Denver,CO,80205,Undisclosed,39.7543709,-104.9911954
Denver Recreational Dispensary,4071 Ute HWY,Longmont,CO,80503,Undisclosed,40.203279,-105.1406382
Diego Pellicer,2849 Alameda Ave,Denver,CO,80219,Undisclosed,39.711229,-105.023197
The Dispensary,1805 Airport Rd,Breckenridge,CO,80424,Undisclosed,39.5075025,-106.0518647
The Dispensary,2501 Colorado Ave Unit 106,Colorado Springs,CO,80904,Undisclosed,38.8471595,-104.8634077
The Dispensary,423 Belleview Ave,Crested Butte,CO,81224,Undisclosed,38.8671255,-106.9837181
The Dispensary,765 West Anemone Trail,Dillon,CO,80435,Undisclosed,39.626931,-106.0614677
The Dispensary,500 West Hwy 50 Unit 101,Gunnison,CO,81230,Undisclosed,38.532212,-106.953438
The Dispensary,5744 Datura St,Littleton,CO,80120,Undisclosed,39.6123946,-105.004331
The Doobie Sisters,695 N Broadway,Cortez,CO,81321,Undisclosed,37.3558088,-108.5899734
Doc’s Apothecary,4080 Globeville Rd,Denver,CO,80216,Recreational,39.7726425,-104.9888514
Doc’s Apothecary,2100 E 112th Ave Unit 5,Northglenn,CO,80233,Undisclosed,39.8995553,-104.9600214
Doctor’s Orders,1406 W 38th Ave,Denver,CO,80211,Medical,39.76911,-105.0032647
Double Black Dispensary,655 Buggy Cir,Carbondale,CO,81623,Undisclosed,39.409181,-107.2208137
Drift,1750 30th St Unit 12,Boulder,CO,80301,Undisclosed,40.0174738,-105.2538668
Drift,5190 S Boulder Rd,Boulder,CO,80303,Undisclosed,39.9856087,-105.2294495
Durango Cannabis Company,28753 US160,Durango,CO,81301,Recreational,37.318364,-107.880367
Durango Organics,1104 E Main St,Cortez,CO,81321,Recreational,37.349157,-108.5714319
Durango Organics,310 Belleview Ave,Crested Butte,CO,81224,Undisclosed,38.8669548,-106.9855177
Durango Organics,72 Suttle St,Durango,CO,81303,Recreational,37.2475386,-107.8764614
Durango Organics,37 CR-232,Durango,CO,81303,Recreational,37.12149,-107.885499
L’Eagle,380 Quivas St,Denver,CO,80223,Undisclosed,39.7223473,-105.0067444
Earl’s Fine Herbs,115 Harrison Ave,Leadville,CO,80461,Recreational,39.2446951,-106.2905111
